playlist_url,year,track_id,track_name,track_popularity,album,artist_id,artist_name,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
https://open.spotify.com/playlist/2fmTTbBkXi8pewbUvG3CeZ,2020,0PvFJmanyNQMseIFrU708S,For The Night (feat. Lil Baby & DaBaby),77,Shoot For The Stars Aim For The Moon,0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,"['brooklyn drill', 'rap']",80,0.823,0.586,6,-6.606,0,0.2,0.114,0.0,0.193,0.347,125.971,190476,4
https://open.spotify.com/playlist/37i9dQZF1DWVRSukIED0e9,2019,1wJRveJZLSb1rjhnUHQiv6,Swervin (feat. 6ix9ine),71,Hoodie SZN,31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,"['melodic rap', 'rap', 'trap']",80,0.581,0.662,9,-5.239,1,0.303,0.0153,0.0,0.111,0.434,93.023,189487,4
https://open.spotify.com/playlist/37i9dQZF1DWYuGZUE4XQXm,2008,3OePAyHePd68TTKmy2hjq0,Put On,69,The Recession,4yBK75WVCQXej1p04GWqxH,Jeezy,"['atl hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'old school atlanta hip hop', 'rap', 'southern hip hop', 'trap']",70,0.65,0.761,9,-6.065,0,0.0345,0.00317,0.0,0.0855,0.268,137.621,321293,4
https://open.spotify.com/playlist/37i9dQZF1DWTE7dVUebpUW,2017,5mCPDVBb16L4XQwDdbRUpz,Passionfruit,84,More Life,3TVXtAsR1Inumwj472S9r4,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",96,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,298941,4
https://open.spotify.com/playlist/2fmTTbBkXi8pewbUvG3CeZ,2020,1tkg4EHVoqnhR6iFEXb60y,What You Know Bout Love,80,Shoot For The Stars Aim For The Moon,0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,"['brooklyn drill', 'rap']",80,0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995,160000,4
https://open.spotify.com/playlist/37i9dQZF1DX9Ol4tZWPH6V,2001,0UrWr7Jnu1heq1o99ZwUd0,Youth of the Nation,70,Satellite (U.S. Version),6KO6G41BBLTDNYOLefWTMU,P.O.D.,"['alternative metal', 'funk metal', 'nu metal', 'rap metal', 'rap rock']",62,0.563,0.86,8,-7.533,1,0.0621,0.00834,0.0106,0.39,0.517,97.867,256240,4
https://open.spotify.com/playlist/37i9dQZF1DX3Sp0P28SIer,2013,01TuObJVd7owWchVRuQbQw,#thatPOWER,67,#willpower (Deluxe),085pc2PYOi8bGKj0PNjekA,will.i.am,"['dance pop', 'pop']",73,0.797,0.608,6,-6.096,0,0.0584,0.00112,7.66e-05,0.0748,0.402,127.999,279507,4
https://open.spotify.com/playlist/37i9dQZF1DWTE7dVUebpUW,2017,3B54sVLJ402zGa6Xm4YGNe,Unforgettable,87,Jungle Rules,6vXTefBL93Dj5IqAWq6OTv,French Montana,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",76,0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,233902,4
https://open.spotify.com/playlist/37i9dQZF1DX0yEZaMOXna3,2012,4Sfa7hdVkqlM8UW5LsSY3F,Take a Walk,67,Gossamer,7gjAu1qr5C2grXeQFFOGeh,Passion Pit,"['indie rock', 'indietronica', 'modern rock', 'neo-synthpop', 'shimmer pop']",57,0.566,0.755,11,-5.526,1,0.0368,0.0338,0.0,0.315,0.445,101.006,264493,4
https://open.spotify.com/playlist/37i9dQZF1DXc6IFF23C9jj,2010,2r6DdaSbkbwoPzuK6NjLPn,Can't Be Tamed,64,Can't Be Tamed,5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,['pop'],86,0.63,0.91,11,-2.919,0,0.144,0.0287,0.0,0.196,0.743,116.98,168213,4
https://open.spotify.com/playlist/37i9dQZF1DWTE7dVUebpUW,2017,0tgVpDi06FyKpA1z0VMD4v,Perfect,87,÷ (Deluxe),6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",87,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,263400,3
